Scientific Name,Common Name,38 cell flat           (unit price/plug)  ,"32 tray                (unit price/2""pot) ",12 ct. quart tray              (unit price/qt.) 
Achillea millefolium,Yarrow,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Actaea pachypoda,White Baneberry,,$94.40 ($2.95) ~,$71.40 ($5.95)
Actaea rubra,Red Baneberry,,$94.40 ($2.95) ~,$71.40 ($5.95)
Agastache nepetoides,Yellow Giant Hyssop,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ageratina altissima,White Snakeroot,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Allium cernuum,Nodding Wild Onion,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Anemone canadensis,Canada Anemone,$60.80 ($1.60),$94.40 ($2.95) ~,$59.40 ($4.95)
Anemone multifida,Red Anemone,$60.80 ($1.60),$73.60 ($2.30),
Anemone virginiana,Thimbleweed,$60.80 ($1.60),$73.60 ($2.30),$59.40 ($4.95)
Aquilegia canadensis,Columbine ,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Aralia racemosa,Spikenard,$60.80 ($1.60),$73.60 ($2.30),$59.40 ($4.95)
Arisaema triphyllum,Jack-in-the-Pulpit,,,$71.40 ($5.95)
Arnoglossum atriplicifolium,Pale Indian Plantain,$60.80 ($1.60),$73.60 ($2.30),
Arnoglossum plantagineum,Tuberous Indian Plantain,$60.80 ($1.60),$73.60 ($2.30),
Asarum canadense,Wild Ginger,,$94.40 ($2.95) ~,$71.40 ($5.95)
Asclepias incarnata,Swamp Milkweed,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Asclepias syriaca,Common Milkweed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Asclepias tuberosa ,Butterfly Weed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Asclepias verticillata,Whorled Milkweed,$50.92 ($1.34),$44.48 ($1.39),
Baptisia australis ,Blue Wild Indigo,$60.80 ($1.60),$94.40 ($2.95) ~,$59.40 ($4.95)
Baptisia lactea,Cream Wild Indigo,$60.80 ($1.60),$94.40 ($2.95) ~,$59.40 ($4.95)
Brickellia eupatorioides,False Boneset,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Caltha palustris,Marsh Marigold,,$94.40 ($2.95) ~,$59.40 ($4.95)
Campanula rotundifolia,Harebell,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Caulophyllum thalictroides,Blue Cohosh,,,
Chamerion angustifolium,Fireweed,$50.92 ($1.34),$44.48 ($1.39),
Chelone glabra,Turtlehead,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Collinsonia canadensis,Richweed,$60.80 ($1.60),$94.40 ($2.95) ~,$59.40 ($4.95)
Coreopsis lanceolata,Sand Coreopsis,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Coreopsis tripteris,Tall Tickseed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Crocanthemum canadense,Common Frostweed,$50.92 ($1.34),$44.48 ($1.39),
Dalea purpurea ,Purple Prairie Clover,,$73.60 ($2.30),
Doellingeria umbellata,Tall Flat-Top White Aster,$50.92 ($1.34),$44.48 ($1.39),
Echinacea pallida ,Pale Purple Coneflower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Echinacea purpurea ,Purple Coneflower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Eryngium yuccifolium,Rattlesnake-Master,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Eupatorium perfoliatum,Boneset,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Euphorbia corollata,Flowering Spurge,,$73.60 ($2.30),$59.40 ($4.95)
Eurybia macrophylla,Big Leaf Aster,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Eutrochium maculatum,Joe-Pye Weed,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Eutrochium purpureum,Joe-Pye Weed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Filipendula rubra ,Queen of the Prairie,,,$71.40 ($5.95)
Fragaria virginiana,Wild Strawberry,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Gentiana andrewsii,Bottle Gentian,,$94.40 ($2.95) ~,$71.40 ($5.95)
Geranium maculatum,Wild Geranium,$76.00 ($2.00),$94.40 ($2.95) ~,$71.40 ($5.95)
Geum fragarioides,Barren Strawberry,$60.80 ($1.60),$94.40 ($2.95) ~,$71.40 ($5.95)
Geum triflorum,Prairie Smoke,,$94.40 ($2.95) ~,
Helenium autumnale,Sneezeweed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Helianthus divaricatus,Woodland Sunflower,$60.80 ($1.60),$94.40 ($2.95) ~,$59.40 ($4.95)
Helianthus giganteus,Tall Sunflower,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Helianthus occidentalis,Western Sunflower,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Helianthus strumosus,Pale-Leaved Sunflower,,,$59.40 ($4.95)
Heliopsis helianthoides,False Sunflower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Heuchera americana,Alum Root,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Hibiscus moscheutos,Rose Mallow,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Hydrophyllum virginianum,Virginia Waterleaf,$60.80 ($1.60),$94.40 ($2.95) ~,$71.40 ($5.95)
Iris virginica,Southern Blue Flag,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Lespedeza capitata,Round Headed Bush Clover,,$44.48 ($1.39),
Liatris aspera,Rough Blazing Star,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Liatris scariosa,Northern Blazing Star,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Liatris spicata,Marsh Blazing Star,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Lilium michiganense,Michigan Lily,,,$120 ($10.00)
Lobelia cardinalis,Cardinal Flower,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Lobelia siphilitica,Blue Lobelia,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Lupinus perennis,Lupine,,$94.40 ($2.95) ~,
Maianthemum racemosum,False Solomon Seal,,,
Maianthemum stellatum,Starry Solomon Seal,,,
Mertensia virginica ,Virginia Bluebells,,$94.40 ($2.95) ~,
Mimulus ringens,Monkey-Flower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Mitella diphylla,Bishop's Cap,,$94.40 ($2.95) ~,
Monarda fistulosa,Bee-Balm,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Monarda punctata,Horsemint,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Opuntia humifusa,Prickly Pear,,$73.60 ($2.30),$59.40 ($4.95)
Packera aurea,Golden Ragwort,$50.92 ($1.34),$44.48 ($1.39),
Packera obovata,Round-Leaved Ragwort,$50.92 ($1.34),$44.48 ($1.39),
Penstemon digitalis,Beardtongue,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Penstemon hirsutus,Penstemon,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Phlox divaricata,Woodland Phlox,$76.00 ($2.00),$73.60 ($2.30),$71.40 ($5.95)
Phlox pilosa,Prairie Phlox,$60.80 ($1.60),$73.60 ($2.30),$59.40 ($4.95)
Physostegia virginiana ,Obedient Plant,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Polemonium reptans ,Jacob's Ladder,$60.80 ($1.60),$73.60 ($2.30),$71.40 ($5.95)
Polygonatum biflorum,True Solomon Seal,,,
Pontederia cordata,Pickerel Weed,$3.75 plug ,,
Potentilla anserina,Silverweed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Potentilla simplex,Common Cinquefoil,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Pycnanthemum virginianum,Mountain-Mint,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ranunculus hispidus,Swamp Buttercup,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ratibida pinnata,Yellow Coneflower,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Rhexia virginica,Meadow Beauty,$60.80 ($1.60),$73.60 ($2.30),$71.40 ($5.95)
Rudbeckia fulgida,Black-Eyed Susan,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Rudbeckia hirta,Black-Eyed Susan,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Rudbeckia laciniata ,Grn-headed Coneflower,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Ruellia humilis,Wild Petunia,$60.80 ($1.60),$73.60 ($2.30),$59.40 ($4.95)
Sagittaria latifolia,Common Arrowhead,    $1.80 plug or bare root,,
Saururus cernuus,Lizard's-Tail,$60.80 ($1.60),$73.60 ($2.30),
Scutellaria lateriflora,Mad-Dog Skullcap,$50.92 ($1.34),$44.48 ($1.39),
Senna hebecarpa,Wild Senna,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium integrifolium,Rosin Weed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium laciniatum,Compass Plant,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium perfoliatum,Cup Plant,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Silphium terebinthinaceum ,Prairie-Dock,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Sisyrinchium angustifolium,Blue-eyed Grass,,$94.40 ($2.95) ~,$71.40 ($5.95)
Solidago caesia,Bluestem Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago flexicaulis,Zigzag Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago juncea,Early Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago nemoralis,Old-Field Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago ohioensis,Ohio Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago patula,Swamp Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago riddellii,Riddell's Goldenrod,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Solidago rigida,Stiff Goldenrod,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Solidago speciosa,Showy Goldenrod,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Stylophorum diphyllum ,Wood Poppy,,$73.60 ($2.30),
Symphyotrichum cordifolium,Heart-Leaved Aster,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum laeve,Smooth Aster,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum novae-angliae,New England Aster,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum oolentangiense,Prairie Heart-Leaved Aster,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Symphyotrichum puniceum,Swamp Aster,$45.22 (1.19),,
Tephrosia virginiana,Goat's-Rue,,$94.40 ($2.95) ~,
Thalictrum dasycarpum,Tall Meadow Rue,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Thalictrum dioicum,Early Meadow Rue,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Tiarella cordifolia,Foamflower,$60.80 ($1.60),$94.40 ($2.95) ~,$71.40 ($5.95)
Tradescantia ohiensis,Spiderwort,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Triosteum aurantiacum,Horse-Gentian,,$73.60 ($2.30),$71.40 ($5.95)
Verbena hastata,Blue Vervain,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Verbena stricta,Hoary Vervain,$45.22 (1.19),$44.48 ($1.39),$47.40 ($3.95)
Vernonia missurica,Ironweed,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Veronicastrum virginicum,Culver's-Root,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
Zizia aurea,Golden Alexanders,$50.92 ($1.34),$44.48 ($1.39),$47.40 ($3.95)
